A,linear ,,,,A,quadratic,,,,A,chaining,,,,B,linear ,,,,B,quadratic,,,,B,chaining,,
insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search
7.30E-07,0.0001163,19,9,,1.16E-06,8.96E-05,18,9,,8.20E-07,4.36E-06,16,8,,1.74E-06,0.00013246,21,6,,3.54E-06,0.00014686,23,6,,1.32E-06,4.32E-06,19,0
7.50E-07,0.0001163,27,15,,1.18E-06,8.96E-05,27,17,,8.20E-07,4.36E-06,25,10,,1.74E-06,0.00013246,26,1,,3.56E-06,0.00014699,26,3,,1.32E-06,4.32E-06,21,0
7.50E-07,0.0001163,17,3,,1.18E-06,8.96E-05,17,3,,8.40E-07,4.36E-06,16,3,,1.74E-06,0.00013246,23,3,,3.56E-06,0.00014708,22,4,,1.34E-06,4.32E-06,20,0
7.50E-07,0.0001163,19,9,,1.18E-06,8.96E-05,19,11,,8.40E-07,4.36E-06,17,7,,1.76E-06,0.00013252,20,7,,3.56E-06,0.00014708,21,11,,1.34E-06,4.32E-06,15,0
7.70E-07,0.0001163,21,23,,1.20E-06,8.96E-05,22,21,,8.60E-07,4.36E-06,20,17,,1.76E-06,0.00013258,22,0,,3.57E-06,0.00014708,23,0,,1.34E-06,4.32E-06,20,0
7.70E-07,0.0001163,29,9,,1.20E-06,8.96E-05,29,9,,8.60E-07,4.36E-06,25,6,,1.76E-06,0.00013258,31,4,,3.57E-06,0.00014708,30,0,,1.36E-06,4.32E-06,26,0
7.70E-07,0.0001163,20,5,,1.22E-06,8.96E-05,20,5,,8.60E-07,4.36E-06,17,5,,1.78E-06,0.00013268,28,7,,3.58E-06,0.00014715,26,4,,1.36E-06,4.32E-06,23,0
7.90E-07,0.0001163,18,10,,1.22E-06,8.96E-05,18,10,,8.80E-07,4.36E-06,17,8,,1.78E-06,0.00013268,30,3,,3.58E-06,0.00014732,32,1,,1.36E-06,4.32E-06,27,0
7.90E-07,0.0001163,15,2,,1.22E-06,8.96E-05,16,2,,8.80E-07,4.36E-06,12,2,,1.79E-06,0.00013268,22,4,,3.58E-06,0.00014753,24,1,,1.37E-06,4.32E-06,21,0
8.10E-07,0.0001163,22,7,,1.24E-06,8.96E-05,23,7,,9.00E-07,4.36E-06,19,7,,1.79E-06,0.00013277,26,7,,3.60E-06,0.00014759,26,3,,1.37E-06,4.32E-06,21,0
8.10E-07,0.0001163,19,9,,1.24E-06,8.96E-05,19,8,,9.00E-07,4.36E-06,15,6,,1.79E-06,0.00013277,16,2,,3.60E-06,0.00014759,15,2,,1.39E-06,4.32E-06,13,0
8.10E-07,0.0001163,18,6,,1.26E-06,8.96E-05,18,6,,9.00E-07,4.36E-06,16,3,,1.80E-06,0.00013277,32,4,,3.62E-06,0.00014759,31,6,,1.39E-06,4.32E-06,29,0
8.20E-07,0.0001163,24,5,,1.26E-06,8.96E-05,24,5,,9.20E-07,4.36E-06,20,2,,1.80E-06,0.00013277,24,2,,3.62E-06,0.00014775,23,2,,1.39E-06,4.32E-06,19,0
8.20E-07,0.0001163,25,3,,1.26E-06,8.96E-05,25,3,,9.20E-07,4.36E-06,23,2,,1.82E-06,0.00013277,17,8,,3.62E-06,0.00014775,17,5,,1.41E-06,4.32E-06,15,0
8.40E-07,0.0001163,29,12,,1.28E-06,8.96E-05,30,12,,9.30E-07,4.36E-06,26,12,,1.82E-06,0.00013277,30,3,,3.64E-06,0.00014775,30,3,,1.41E-06,4.32E-06,23,0
8.40E-07,0.0001163,29,19,,1.28E-06,8.96E-05,31,11,,9.30E-07,4.36E-06,27,10,,1.82E-06,0.00013277,30,2,,3.64E-06,0.00014786,31,0,,1.42E-06,4.32E-06,27,0
8.40E-07,0.0001163,26,6,,1.30E-06,8.96E-05,26,6,,9.30E-07,4.36E-06,24,5,,1.84E-06,0.00013277,29,0,,3.66E-06,0.00014808,29,3,,1.42E-06,4.32E-06,25,0
8.50E-07,0.0001163,24,8,,1.30E-06,8.96E-05,24,8,,9.50E-07,4.36E-06,22,5,,1.84E-06,0.00013277,20,10,,3.66E-06,0.0001482,20,7,,1.42E-06,4.32E-06,14,0
8.50E-07,0.0001163,27,3,,1.30E-06,8.96E-05,27,3,,9.50E-07,4.36E-06,27,3,,1.85E-06,0.00013277,28,3,,3.66E-06,0.00014833,27,3,,1.43E-06,4.32E-06,24,0
8.70E-07,0.0001163,31,7,,1.32E-06,8.96E-05,32,5,,9.70E-07,4.36E-06,27,5,,1.85E-06,0.00013277,27,4,,3.67E-06,0.00014839,27,4,,1.43E-06,4.32E-06,24,0
8.70E-07,0.0001163,19,8,,1.32E-06,8.96E-05,17,8,,9.70E-07,4.36E-06,15,4,,1.85E-06,0.00013277,27,2,,3.67E-06,0.00014843,29,2,,1.45E-06,4.32E-06,27,0
8.70E-07,0.0001163,36,22,,1.34E-06,8.96E-05,35,24,,9.70E-07,4.36E-06,30,13,,1.87E-06,0.00013277,18,1,,3.67E-06,0.00014843,20,2,,1.45E-06,4.32E-06,15,0
8.90E-07,0.0001163,32,17,,1.34E-06,8.96E-05,32,17,,9.80E-07,4.36E-06,30,8,,1.87E-06,0.00013277,19,2,,3.68E-06,0.00014843,19,4,,1.45E-06,4.32E-06,17,0
1.14E-06,0.0001163,28,4,,1.34E-06,8.96E-05,28,4,,9.80E-07,4.36E-06,22,4,,1.89E-06,0.00013277,16,0,,3.68E-06,0.00014861,15,1,,1.46E-06,4.32E-06,11,0
1.16E-06,0.0001163,30,3,,1.36E-06,8.96E-05,30,3,,9.80E-07,4.36E-06,26,3,,1.89E-06,0.00013277,24,0,,3.69E-06,0.00014873,23,1,,1.46E-06,4.32E-06,19,0
1.16E-06,0.0001163,29,12,,1.36E-06,8.96E-05,28,11,,1.00E-06,4.36E-06,27,6,,1.89E-06,0.00013277,29,3,,3.69E-06,0.0001489,29,1,,1.47E-06,4.32E-06,25,0
1.29E-06,0.0001163,27,3,,1.36E-06,8.96E-05,27,3,,1.00E-06,4.36E-06,21,3,,1.98E-06,0.00013277,33,2,,3.69E-06,0.00014913,34,3,,1.47E-06,4.32E-06,29,0
1.30E-06,0.0001163,33,27,,1.38E-06,8.96E-05,33,23,,1.01E-06,4.36E-06,30,15,,1.98E-06,0.00013277,36,7,,3.70E-06,0.00014923,35,2,,1.47E-06,4.32E-06,29,0
1.30E-06,0.0001163,25,6,,1.38E-06,8.96E-05,26,5,,1.01E-06,4.36E-06,23,2,,1.98E-06,0.00013277,25,3,,3.70E-06,0.00014933,25,2,,1.49E-06,4.32E-06,24,0
1.32E-06,0.0001163,24,11,,1.40E-06,8.96E-05,24,11,,1.01E-06,4.36E-06,19,9,,2.00E-06,0.00013277,19,2,,3.71E-06,0.0001496,22,0,,1.49E-06,4.32E-06,19,0
1.32E-06,0.0001163,30,17,,1.40E-06,8.96E-05,29,16,,1.02E-06,4.36E-06,27,16,,2.00E-06,0.00013277,22,0,,3.71E-06,0.00014987,22,3,,1.49E-06,4.32E-06,19,0
1.34E-06,0.0001163,26,12,,1.40E-06,8.96E-05,27,8,,1.02E-06,4.36E-06,24,2,,2.02E-06,0.00013277,23,16,,3.71E-06,0.00014997,23,10,,1.51E-06,4.32E-06,20,0
1.34E-06,0.0001163,31,16,,1.42E-06,8.96E-05,31,12,,1.04E-06,4.36E-06,27,8,,2.02E-06,0.00013277,22,0,,3.72E-06,0.00015009,22,0,,1.51E-06,4.32E-06,15,0
1.34E-06,0.0001163,32,12,,1.42E-06,8.96E-05,35,13,,1.04E-06,4.36E-06,28,7,,2.02E-06,0.00013277,31,5,,3.72E-06,0.00015022,33,5,,1.53E-06,4.32E-06,28,0
